Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~main.PrjPCB|ReportField=ProjectFullPath~D:\source\Basics\sch&pcb\main.PrjPCB|ReportField=Title~Bill of Materials For Project [main.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~28|ReportField=ReportTime~21:14:55|ReportField=ReportDate~2020/9/27|ReportField=ReportDateTime~2020/9/27 21:14:55|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020/9/27|ReportField=CurrentTime~21:14:53|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\source\Basics\sch&pcb\main.SchDoc|ReportField=DocumentName~main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020/9/25|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~main.PrjPCB|ReportField=DataSourceFullPath~D:\source\Basics\sch&pcb\main.PrjPCB
Cap Semi|Capacitor (Semiconductor SIM Model)|C1|C0603|Cap Semi|1
Cap Semi|Capacitor (Semiconductor SIM Model)|C2, C5|0402|Cap Semi|2
10nF|Capacitor (Semiconductor SIM Model)|C3|C0603|Cap Semi|1
22uF|Capacitor (Semiconductor SIM Model)|C4|C0603|Cap Semi|1
|Capacitor (Semiconductor SIM Model)|C6|C0603|Cap Semi|1
||CH1|SOIC127P600X170-16N|Component_1|1
LED3|Typical BLUE SiC LED|D1, D2, D3, D4|0603D|LED3|4
100R/DIO|Default Diode|D5|0603D|Diode|1
1N5819|Default Diode|D6|0603D|Diode|1
IO1|Header, 8-Pin|P1|HDR1X8|Header 8|1
IO2|Header, 8-Pin|P2|HDR1X8|Header 8|1
IIC|Header, 4-Pin|P3|HDR1X4|Header 4|1
10K|Resistor|R1|J1-0603|Res3|1
1K|Resistor|R2, R5, R6, R7|J1-0603|Res3|4
Res3|Resistor|R3, R4|J1-0603|Res3|2
SW-PB|Switch|S1, S2|KEY_1|SW-PB|2
STC8G1K08T-TSSOP20||U1|TSSOP20|STC8G1K08T-TSSOP20|1
TYPE-C16PIN||USB1|USB-C-SMD_TYPE-C16PIN|TYPE-C16PIN|1
12M|XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ?0ppm, Stab: ?0ppm|X1|LC_SMD-3225_4P|XTAL_SMD2016_32MHz_8pF_Epson|1
